"","ESPECIALIDAD","PERIODO","REGIMEN","CODIGO.ENTIDAD","GENERO","CIUDAD.RESIDENCIA","conteo"
"249","Cirugia General","2022/02","SUBSIDIADO","ESS091","F","PUERTO BOYACA",50
"250","Cirugia General","2022/02","SUBSIDIADO","ESS091","M","PUERTO BOYACA",13
"251","Cirugia General","2022/02","SUBSIDIADO","ESS091","M","PUERTO TRIUNFO (ANT)",1
"252","Cirugia General","2022/03","ESPECIAL","EMP014","F","PUERTO BOYACA",1
"253","Cirugia General","2022/03","ESPECIAL","RES001","M","PUERTO BOYACA",2
"254","Cirugia General","2022/03","PARTICULAR","PARTIC","F","PUERTO BOYACA",1
"255","Cirugia General","2022/03","PARTICULAR","PARTIC","M","PUERTO TRIUNFO (ANT)",1
"256","Cirugia General","2022/03","SUBSIDIADO","CCF090","F","PUERTO BOYACA",1
"257","Cirugia General","2022/03","SUBSIDIADO","EPS010","F","PUERTO BOYACA",1
"258","Cirugia General","2022/03","SUBSIDIADO","EPS017","F","PUERTO BOYACA",17
"259","Cirugia General","2022/03","SUBSIDIADO","EPS017","M","PUERTO BOYACA",19
"260","Cirugia General","2022/03","SUBSIDIADO","EPS017","M","PUERTO TRIUNFO (ANT)",1
"261","Cirugia General","2022/03","SUBSIDIADO","EPS037","F","ANTIOQUIA",1
"262","Cirugia General","2022/03","SUBSIDIADO","EPS037","F","PUERTO BOYACA",71
"263","Cirugia General","2022/03","SUBSIDIADO","EPS037","F","PUERTO NARA (ANT)",1
"264","Cirugia General","2022/03","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"265","Cirugia General","2022/03","SUBSIDIADO","EPS037","M","PUERTO BOYACA",51
"266","Cirugia General","2022/03","SUBSIDIADO","EPS040","F","PUERTO BOYACA",1
"267","Cirugia General","2022/03","SUBSIDIADO","ESS091","F","LA GUAJIRA",1
"268","Cirugia General","2022/03","SUBSIDIADO","ESS091","F","PUERTO BOYACA",39
"269","Cirugia General","2022/03","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",2
"270","Cirugia General","2022/03","SUBSIDIADO","ESS091","M","PUERTO BOYACA",23
"271","Cirugia General","2022/04","CONTRIBUTIVO","CCF090","F","PUERTO BOYACA",1
"272","Cirugia General","2022/04","CONTRIBUTIVO","EPS010","F","PUERTO BOYACA",1
"273","Cirugia General","2022/04","CONTRIBUTIVO","EPS016","M","PUERTO BOYACA",1
"274","Cirugia General","2022/04","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",16
"275","Cirugia General","2022/04","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",19
"276","Cirugia General","2022/04","CONTRIBUTIVO","EPS037","F","ANTIOQUIA",1
"277","Cirugia General","2022/04","CONTRIBUTIVO","EPS037","F","COCORNA",1
"278","Cirugia General","2022/04","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",19
"279","Cirugia General","2022/04","CONTRIBUTIVO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"280","Cirugia General","2022/04","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",16
"281","Cirugia General","2022/04","CONTRIBUTIVO","ESS091","F","PUERTO BOYACA",1
"282","Cirugia General","2022/04","ESPECIAL","EMP014","F","PUERTO BOYACA",1
"283","Cirugia General","2022/04","ESPECIAL","RES004","F","PUERTO BOYACA",1
"284","Cirugia General","2022/04","SOAT Y ARL","AT1306","M","PUERTO BOYACA",3
"285","Cirugia General","2022/04","SOAT Y ARL","AT1317","M","PUERTO BOYACA",1
"286","Cirugia General","2022/04","SOAT Y ARL","RP1425","M","PUERTO BOYACA",1
"287","Cirugia General","2022/04","SUBSIDIADO","CCF090","F","PUERTO BOYACA",1
"288","Cirugia General","2022/04","SUBSIDIADO","CCF090","M","PUERTO BOYACA",1
"289","Cirugia General","2022/04","SUBSIDIADO","EPS037","F","PUERTO BOYACA",48
"290","Cirugia General","2022/04","SUBSIDIADO","EPS037","M","ANTIOQUIA",3
"291","Cirugia General","2022/04","SUBSIDIADO","EPS037","M","CIMITARRA (SANTANDER)",1
"292","Cirugia General","2022/04","SUBSIDIADO","EPS037","M","PUERTO BOYACA",49
"293","Cirugia General","2022/04","SUBSIDIADO","ESS091","F","ANTIOQUIA",3
"294","Cirugia General","2022/04","SUBSIDIADO","ESS091","F","PUERTO BOYACA",49
"295","Cirugia General","2022/04","SUBSIDIADO","ESS091","F","PUERTO NARA (ANT)",1
"296","Cirugia General","2022/04","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",3
"297","Cirugia General","2022/04","SUBSIDIADO","ESS091","M","ANTIOQUIA",2
"298","Cirugia General","2022/04","SUBSIDIADO","ESS091","M","PUERTO BOYACA",20
"299","Cirugia General","2022/04","SUBSIDIADO","ESS091","M","PUERTO NARA (ANT)",1
"300","Cirugia General","2022/04","SUBSIDIADO","ESS091","M","PUERTO TRIUNFO (ANT)",1
